time	open	High	Low	Close	VOL	E
2010-08-16	5.800	6.440	5.710	6.170	5193214	3121563136.000
2010-08-17	6.000	6.100	5.770	6.000	3165841	1883589632.000
2010-08-18	5.980	6.120	5.880	6.050	2232802	1340366848.000
2010-08-19	6.100	6.140	5.870	5.960	2169618	1296252800.000
2010-08-20	5.790	5.820	5.600	5.700	1646030	936490112.000
2010-08-23	5.700	5.830	5.590	5.780	1014862	576719232.000
2010-08-24	5.710	5.900	5.650	5.790	1702620	985686656.000
2010-08-25	5.700	5.720	5.480	5.490	1013234	567591808.000
2010-08-26	5.490	5.780	5.420	5.690	988173	555413632.000
2010-08-27	5.640	5.700	5.590	5.660	535896	303424384.000
2010-08-30	5.650	5.740	5.620	5.710	700546	398772192.000
2010-08-31	5.700	5.860	5.530	5.580	996730	562073088.000
2010-09-01	5.580	5.620	5.450	5.500	611099	337215936.000
2010-09-02	5.560	5.560	5.440	5.480	539257	295584576.000
2010-09-03	5.480	5.480	5.290	5.350	722907	388474080.000
2010-09-06	5.400	5.560	5.350	5.530	810449	442944928.000
2010-09-07	5.540	5.540	5.410	5.460	458566	250224304.000
2010-09-08	5.420	5.430	5.360	5.410	355358	191343952.000
2010-09-09	5.400	5.450	5.310	5.330	401073	215372416.000
2010-09-10	5.330	5.540	5.250	5.460	583404	314150528.000
2010-09-13	5.430	5.530	5.390	5.510	486552	265355040.000
2010-09-14	5.530	5.550	5.410	5.430	495904	270795840.000
2010-09-15	5.410	5.420	5.260	5.290	356644	189907456.000
2010-09-16	5.270	5.370	5.170	5.220	320320	168343904.000
2010-09-17	5.250	5.260	5.070	5.090	329735	169486992.000
2010-09-20	5.110	5.120	4.920	4.940	300386	149728384.000
2010-09-21	4.920	4.950	4.810	4.850	246327	119936848.000
2010-09-27	4.860	4.920	4.810	4.910	247605	120357360.000
2010-09-28	4.890	4.890	4.700	4.710	311644	148749728.000
2010-09-29	4.680	4.810	4.600	4.800	347969	163167968.000
2010-09-30	4.720	4.980	4.720	4.900	485190	237508944.000
2010-10-08	4.930	4.970	4.850	4.910	314754	154759920.000
2010-10-11	4.900	4.990	4.880	4.950	377076	186100016.000
2010-10-12	4.940	5.010	4.910	4.930	289615	143410016.000
2010-10-13	4.930	4.960	4.850	4.920	321153	157132272.000
2010-10-14	4.920	5.070	4.910	4.930	511752	255679392.000
2010-10-15	4.910	4.980	4.810	4.980	508094	247716512.000
2010-10-18	5.050	5.420	4.980	5.300	1124337	589249600.000
2010-10-19	5.190	5.250	5.140	5.240	505442	262361504.000
2010-10-20	5.120	5.180	5.070	5.110	442218	226448848.000
2010-10-21	5.130	5.130	4.980	5.020	313375	157821616.000
2010-10-22	5.040	5.090	5.000	5.020	208223	104739568.000
2010-10-25	5.030	5.120	4.990	5.080	314787	159236416.000
2010-10-26	5.090	5.100	4.980	5.010	315338	158057536.000
2010-10-27	5.000	5.030	4.940	4.960	261609	130227176.000
2010-10-28	4.940	4.970	4.890	4.950	212826	105018024.000
2010-10-29	4.970	5.110	4.960	5.070	340368	171942128.000
2010-11-01	5.090	5.220	5.000	5.150	521575	265574032.000
2010-11-02	5.120	5.200	5.080	5.090	411417	211381504.000
2010-11-03	5.090	5.170	5.060	5.060	267660	136784032.000
2010-11-04	5.060	5.130	5.060	5.100	250074	127259912.000
2010-11-05	5.110	5.610	5.080	5.610	1394566	767668608.000
2010-11-08	5.650	5.700	5.480	5.610	1658571	926867648.000
2010-11-09	5.520	5.590	5.420	5.470	668072	367344544.000
2010-11-10	5.470	5.640	5.430	5.530	468053	260033184.000
2010-11-11	5.500	5.560	5.400	5.420	448446	245068272.000
2010-11-12	5.370	5.440	4.970	5.050	519279	270874464.000
2010-11-15	5.060	5.180	5.000	5.130	321558	162994528.000
2010-11-16	4.900	4.920	4.620	4.700	2873428	1367184384.000
2010-11-17	4.610	4.710	4.500	4.520	971982	444896864.000
2010-11-18	4.560	4.610	4.350	4.440	987973	437439680.000
2010-11-19	4.440	4.540	4.410	4.510	757893	339455008.000
2010-11-22	4.480	4.520	4.440	4.490	572882	256125216.000
2010-11-23	4.480	4.480	4.270	4.350	575831	250516304.000
2010-11-24	4.350	4.460	4.320	4.450	500811	221121440.000
2010-11-25	4.450	4.550	4.390	4.540	963392	432123360.000
2010-11-26	4.510	4.520	4.410	4.450	459342	205011296.000
2010-11-29	4.460	4.560	4.450	4.510	545258	245720672.000
2010-11-30	4.500	4.500	4.280	4.350	571544	249884176.000
2010-12-01	4.340	4.370	4.310	4.350	241908	104994024.000
2010-12-02	4.390	4.500	4.360	4.390	493699	218295792.000
2010-12-03	4.390	4.450	4.330	4.410	372083	163068944.000
2010-12-06	4.400	4.490	4.330	4.470	596079	263559936.000
2010-12-07	4.430	4.550	4.370	4.520	850094	380901760.000
2010-12-08	4.500	4.500	4.420	4.430	442300	197395792.000
2010-12-09	4.400	4.420	4.320	4.340	385595	168199360.000
2010-12-10	4.310	4.380	4.300	4.360	249378	108234256.000
2010-12-13	4.370	4.460	4.350	4.450	604907	266560400.000
2010-12-14	4.450	4.470	4.410	4.440	402553	178455376.000
2010-12-15	4.440	4.520	4.420	4.440	467162	208662560.000
2010-12-16	4.450	4.510	4.400	4.460	424826	189266592.000
2010-12-17	4.580	4.820	4.560	4.620	1691915	795130496.000
2010-12-20	4.600	4.700	4.420	4.630	1102896	505687200.000
2010-12-21	4.560	4.650	4.550	4.620	556362	256141472.000
2010-12-22	4.620	4.640	4.510	4.590	476689	217990464.000
2010-12-23	4.580	4.590	4.470	4.470	444950	200559120.000
2010-12-24	4.450	4.480	4.410	4.420	283333	125704480.000
2010-12-27	4.450	4.460	4.270	4.290	499320	217700400.000
2010-12-28	4.280	4.300	4.140	4.150	379204	159023728.000
2010-12-29	4.160	4.230	4.140	4.220	259111	108376800.000
2010-12-30	4.200	4.210	4.130	4.160	279975	116383472.000
2010-12-31	4.160	4.240	4.160	4.230	289565	121405776.000
2011-01-04	4.230	4.280	4.200	4.270	296868	126063824.000
2011-01-05	4.250	4.270	4.220	4.240	255771	108358552.000
2011-01-06	4.240	4.270	4.230	4.250	188448	80033736.000
2011-01-07	4.250	4.290	4.210	4.260	374845	159349824.000
2011-01-10	4.260	4.260	4.140	4.150	252839	106183240.000
2011-01-11	4.140	4.220	4.130	4.210	180976	75753664.000
2011-01-12	4.210	4.230	4.170	4.210	154674	64947912.000
2011-01-13	4.210	4.230	4.180	4.200	175870	73891512.000
2011-01-14	4.190	4.200	4.140	4.140	194050	80654576.000
2011-01-17	4.140	4.140	3.970	3.970	299971	120785864.000
2011-01-18	3.950	3.970	3.930	3.960	125910	49741724.000
2011-01-19	3.970	4.030	3.960	4.020	145561	58247192.000
2011-01-20	4.000	4.000	3.800	3.800	308237	119698496.000
2011-01-21	3.790	3.900	3.780	3.850	239238	92072344.000
2011-01-24	3.860	3.960	3.840	3.900	221880	86679176.000
2011-01-25	3.900	3.910	3.830	3.880	130949	50623108.000
2011-01-26	3.890	3.950	3.880	3.950	166295	65273888.000
2011-01-27	3.910	4.080	3.910	4.060	487777	196560384.000
2011-01-28	4.060	4.090	4.000	4.060	247659	100113040.000
2011-01-31	4.070	4.070	4.020	4.060	207347	83940072.000
2011-02-01	4.070	4.080	4.040	4.070	132523	53742124.000
2011-02-09	4.030	4.060	3.970	3.990	181764	73032008.000
2011-02-10	3.970	4.050	3.960	4.050	219066	87926856.000
2011-02-11	4.030	4.120	4.030	4.090	231770	94594832.000
2011-02-14	4.090	4.200	4.080	4.180	408667	169934720.000
2011-02-15	4.180	4.200	4.140	4.160	333297	138919504.000
2011-02-16	4.150	4.330	4.110	4.310	579306	244579744.000
2011-02-17	4.280	4.320	4.230	4.260	396063	168759408.000
2011-02-18	4.250	4.250	4.160	4.190	228987	96236736.000
2011-02-21	4.150	4.260	4.140	4.260	246032	103871416.000
2011-02-22	4.250	4.270	4.110	4.120	303602	126727144.000
2011-02-23	4.100	4.280	4.100	4.250	354247	148968032.000
2011-02-24	4.250	4.320	4.200	4.290	376292	160999856.000
2011-02-25	4.280	4.290	4.220	4.280	219432	93445528.000
2011-02-28	4.280	4.320	4.230	4.310	299396	128499816.000
2011-03-01	4.320	4.420	4.300	4.370	477096	208731728.000
2011-03-02	4.360	4.370	4.270	4.310	316137	136296896.000
2011-03-03	4.300	4.350	4.210	4.220	281262	120096080.000
2011-03-04	4.220	4.340	4.210	4.300	271566	116301424.000
2011-03-07	4.310	4.360	4.290	4.340	351327	151966928.000
2011-03-08	4.350	4.460	4.300	4.400	622587	272928320.000
2011-03-09	4.390	4.440	4.370	4.380	343509	151053744.000
2011-03-10	4.380	4.380	4.280	4.300	322816	139466464.000
2011-03-11	4.290	4.330	4.260	4.270	241561	103721616.000
2011-03-14	4.460	4.540	4.360	4.380	607608	268005504.000
2011-03-15	4.410	4.820	4.330	4.820	2294700	1086342656.000
2011-03-16	5.000	5.300	4.920	5.170	4507944	2320010752.000
2011-03-17	5.030	5.100	4.850	4.940	2145148	1065565568.000
2011-03-18	4.890	4.930	4.680	4.710	1476538	700599680.000
2011-03-21	4.660	4.680	4.520	4.550	915909	419440736.000
2011-03-22	4.550	4.660	4.530	4.580	720110	331564128.000
2011-03-23	4.530	4.640	4.500	4.630	633343	289520768.000
2011-03-24	4.630	4.870	4.560	4.760	1314171	626431488.000
2011-03-25	4.690	4.750	4.670	4.700	732771	344539136.000
2011-03-28	4.760	4.830	4.660	4.690	599983	282610016.000
2011-03-29	4.730	5.100	4.720	5.020	1618346	791741568.000
